"","id","treatment","group","source_cup"
"1",1,"heatstress","active",1
"2",3,"heatstress","active",1
"3",8,"heatstress","backup",1
"4",16,"heatstress","active",1
"5",25,"heatstress","active",1
"6",29,"heatstress","active",1
"7",2,"control","backup",2
"8",12,"control","active",2
"9",13,"control","active",2
"10",19,"control","active",2
"11",26,"control","active",2
"12",5,"heatstress","active",3
"13",14,"heatstress","active",3
"14",15,"heatstress","active",3
"15",17,"heatstress","backup",3
"16",21,"heatstress","backup",3
"17",11,"control","active",4
"18",20,"control","backup",4
"19",24,"control","backup",4
"20",9,"heatstress","active",5
"21",22,"heatstress","backup",5
"22",23,"heatstress","active",5
"23",27,"heatstress","backup",5
"24",4,"control","backup",6
"25",6,"control","active",6
"26",7,"control","active",6
"27",10,"control","active",6
"28",18,"control","active",6
"29",28,"control","active",6
"30",30,"control","backup",6
