"vial","replicate","resp_rate","temp","avg_length_mm","avg_length_um","weight_ngC_B88","weight_c_kg_B88","resp_rate_corr","resp_mL_h","msr_B88"
"Test - A3","R2",0.042133009618863,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.0028088673079242,-0.000113507556472735,1.6342057362761
"Test - B3","R2",0.0310685550631868,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00207123700421245,-8.36995932705016e-05,1.20505065651277
"Test - A4","R2",0.0296927404894336,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.0019795160326289,-7.99931086913323e-05,1.15168717527043
"Test - B4","R2",0.0309865461969222,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00206576974646148,-8.34786589934822e-05,1.20186979284109
"Test - A5","R2",0.0319727467052984,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00213151644701989,-8.61355119197406e-05,1.24012138090674
"Test - B5","R2",0.0349419383528572,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00232946255685714,-9.41346007971411e-05,1.35528690234557
"Test - A6","R2",0.0486990307183047,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00324660204788698,-0.000131196608773722,1.88888085780869
"Test - B6","R2",0.0395795651187591,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00263863767458394,-0.00010662850253338,1.53516572733584
"Test - A2","R3",0.00418776840300809,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000279184560200539,-1.30246063172972e-05,0.184172051889889
"Test - B2","R3",0.00388391200846075,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000258927467230717,-1.20795660153718e-05,0.170808883185658
"Test - A3","R3",0.00471613774312147,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000314409182874764,-1.46679165443297e-05,0.207408978137885
"Test - B3","R3",0.00723898122587408,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000482598748391606,-2.25143492982062e-05,0.318360018429854
"Test - A4","R3",0.00548972605005603,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000365981736670402,-1.70738956195455e-05,0.241430283065786
"Test - B4","R3",0.00520869271043906,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000347246180695937,-1.61998385422923e-05,0.229070839604312
"Test - A5","R3",0.00449193647512937,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.000299462431675291,-1.39706159846e-05,0.197548927727084
"Test - B5","R3",-0.0029869372042271,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,0.000199129146948474,9.28983588290166e-06,-0.131361216960711
"Test - A6","R3",0.00549644665181805,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,-0.00036642977678787,-1.70947977286742e-05,0.241725845498407
"Test - B6","R3",-0.00106312608077201,"18",0.165833333333333,165.833333333333,70.7197763376399,7.07197763376399e-11,7.08750720514671e-05,3.30648625596398e-06,-0.0467547612166887
"Test - A2","R3",0.0205996711203792,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00137331140802528,-5.54966234390274e-05,0.596061534530724
"Test - B2","R3",0.031274827061438,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00208498847076253,-8.42560684783099e-05,0.904952380136864
"Test - A3","R3",0.0341366012701674,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00227577341801116,-9.19658423237892e-05,0.987759213137617
"Test - B3","R3",0.0366072466335619,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00244048310890412,-9.86218939948296e-05,1.05924854216527
"Test - A4","R3",0.0327738629991999,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00218492419994666,-8.82945520285273e-05,0.948327716381679
"Test - B4","R3",0.0139480669458465,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.000929871129723102,-3.75768435560219e-05,0.403594122396141
"Test - A5","R3",0.0214647122309853,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00143098081539902,-5.78270907796974e-05,0.621091921123155
"Test - B5","R3",0.0289679386669719,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00193119591113146,-7.80411869010554e-05,0.838201438902844
"Test - A6","R3",0.0221221912719419,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.0014748127514628,-5.95983747260186e-05,0.64011639795991
"Test - B6","R3",0.0181747961410842,"28",0.1802,180.2,93.1055272384245,9.31055272384245e-11,-0.00121165307607228,-4.89638796478161e-05,0.525896593898549
