"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - C3",6,"R1",0.000350005844229342,"R1_25","c1",0.358,358,318.171603425535,3.18171603425535e-10,0.0513196052493872,1.6328441089363e-05,"heatstress","active",1,"F",2022-03-18,5,1
"Test - A4",6,"R1",0.0054799218403152,"R1_6","c4",0.6,600,1437.22455958042,1.43722455958042e-09,0.177876740231462,0.000255648819638765,"control","active",6,"F",2022-03-18,5,1
"Test - B4",6,"R1",-0.0025234892445257,"R1_14","c2",0.42,420,507.236978338404,5.07236978338404e-10,-0.232091897380932,-0.000117725592724331,"heatstress","active",3,"M",2022-03-18,5,3
"Test - C4",6,"R1",0.00647622844996357,"R1_28","c3",0.496,496,824.383847997767,8.24383847997767e-10,0.366489987038738,0.000302128425767646,"control","active",6,"F",2022-03-18,5,1
"Test - A5",6,"R1",0.0059162992658508,"R1_7","c4",0.583,583,1321.5243164225,1.3215243164225e-09,0.208854772116011,0.000276006659952189,"control","active",6,"F",2022-03-18,5,1
"Test - B5",6,"R1",0.00380903593546756,"R1_15","c2",0.417,417,496.729850527095,4.96729850527095e-10,0.357737311055527,0.000177698801048577,"heatstress","active",3,"M",2022-03-18,5,3
"Test - C5",6,"R1",0.00570159553483281,"R1_29","c2",0.44,440,581.038344991284,5.81038344991284e-10,0.457784452855451,0.000265990320849872,"heatstress","active",1,NA,2022-03-18,5,1
"Test - A6",6,"R1",0.00196695681477746,"R1_10","c2",0.416,416,493.259552083033,4.93259552083033e-10,0.186032468301389,9.17622919872444e-05,"control","active",6,NA,2022-03-19,6,NA
"Test - B6",6,"R1",0.00424145341111466,"R1_18","c2",0.423,423,517.889196583665,5.17889196583665e-10,0.382073817029034,0.00019787190213682,"control","active",6,"F",2022-03-18,5,1
"Test - A2",7,"R1",0.00242332263167044,"R1_1","c2",0.411,411,476.147050756491,4.76147050756491e-10,0.237433157279704,0.000113053097590533,"heatstress","active",1,"F",2022-03-19,6,1
"Test - A3",7,"R1",0.00562619293336507,"R1_3","c6",0.746,746,2714.69069924687,2.71469069924687e-09,0.0966864231105327,0.00026247373356161,"heatstress","active",1,"M",2022-03-19,6,NA
"Test - B3",7,"R1",0.00273648575058382,"R1_18","c3",0.496,496,824.383847997767,8.24383847997767e-10,0.154858463147149,0.000127662815744267,"control","active",6,"F",2022-03-19,6,1
"Test - A4",7,"R1",0.00462938937161268,"R1_6","c5",0.728,728,2527.82268173597,2.52782268173597e-09,0.0854374606461254,0.0002159707508912,"control","active",6,"F",2022-03-19,6,2
"Test - B4",7,"R1",0.00551047472806687,"R1_25","c2",0.436,436,565.748651490966,5.65748651490966e-10,0.45439831844775,0.000257075235901577,"heatstress","active",1,"F",2022-03-19,6,1
"Test - A5",7,"R1",0.00331714912905807,"R1_7","c5",0.704,704,2292.10835113298,2.29210835113298e-09,0.0675151257778052,0.000154751983623101,"control","active",6,"F",2022-03-19,6,2
"Test - B5",7,"R1",0.00632189435464954,"R1_28","c4",0.587,587,1348.17489113149,1.34817489113149e-09,0.21876217249703,0.00029492966808987,"control","active",6,"F",2022-03-19,6,1
"Test - A6",7,"R1",0.00906229749935311,"R1_12","c5",0.707,707,2320.74630186917,2.32074630186917e-09,0.182172104795997,0.000422775238509034,"control","active",2,"F",2022-03-19,6,2
"Test - B6",7,"R1",0.00455480515156391,"R1_29","c3",0.508,508,883.985250269708,8.83985250269708e-10,0.240378716831262,0.000212491240157594,"heatstress","active",1,NA,2022-03-19,6,1
"Test - A2",8,"R1",0.00294993244297132,"R1_1","c3",0.496,496,824.383847997767,8.24383847997767e-10,0.166938489519674,0.000137621394369163,"heatstress","active",1,"F",2022-03-20,7,1
"Test - B2",8,"R1",0.00340508215669518,"R1_15","c4",0.581,581,1308.32995628496,1.30832995628496e-09,0.121418312616754,0.00015885521563807,"heatstress","active",3,"M",2022-03-21,8,1
"Test - C2",8,"R1",0.00347155984571282,"R1_29","c4",0.61,610,1508.29432504473,1.50829432504473e-09,0.1073772909725,0.000161956558612499,"heatstress","active",1,NA,2022-03-20,7,2
"Test - A3",8,"R1",0.00659306507511509,"R1_5","c4",0.71,710,2349.61852190603,2.34961852190603e-09,0.130907307038176,0.000307582233269738,"heatstress","active",3,NA,2022-03-20,7,2
"Test - B3",8,"R1",0.00320006542798861,"R1_18","c4",0.569,569,1230.97943240033,1.23097943240033e-09,0.121277977220933,0.000149290695562084,"control","active",6,"F",2022-03-20,7,2
"Test - A4",8,"R1",0.00367086235052617,"R1_11","c5",0.68,680,2071.32861013112,2.07132861013112e-09,0.0826785743497353,0.00017125449649546,"control","active",4,"M",2022-03-21,8,2
"Test - B4",8,"R1",0.00143807926297065,"R1_23","c2",0.42,420,507.236978338404,5.07236978338404e-10,0.132265263240943,6.70898324654696e-05,"heatstress","active",5,"M",2022-03-20,7,1
"Test - A5",8,"R1",0.00510207484019861,"R1_13","c5",0.664,664,1932.20753123137,1.93220753123137e-09,0.123187584013614,0.000238023977585301,"control","active",2,"M",2022-03-20,7,2
"Test - B5",8,"R1",0.000993938547087428,"R1_25","c3",0.507,507,878.913671632845,8.78913671632845e-10,0.0527578631865408,4.63696072407859e-05,"heatstress","active",1,"F",2022-03-20,7,1
