"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - A3",21,"R2",0.00337929495288913,"R2_5","c3",0.514,514,914.819232348537,9.14819232348537e-10,0.172327903757274,0.000157648880627462,"control","active",6,NA,2022-04-25,5,1
"Test - B3",21,"R2",0.00392846755723203,"R2_29","c3",0.523,523,962.38292790985,9.6238292790985e-10,0.190432054286636,0.000183268557972261,"control","active",1,"F",2022-04-25,5,1
"Test - C3",21,"R2",0.00766122526769263,"R2_40","c5",0.672,672,2000.9731269463,2.0009731269463e-09,0.178616579336129,0.000357406975278667,"heatstress","active",2,"M",2022-04-25,5,2
"Test - A4",21,"R2",0.00651764976627731,"R2_10","c4",0.702,702,2273.14608189581,2.27314608189581e-09,0.133760679085362,0.000304057563574613,"heatstress","active",2,NA,2022-04-25,5,NA
"Test - B4",21,"R2",0.00599835591000959,"R2_30","c5",0.7,700,2254.28725472128,2.25428725472128e-09,0.124133147373264,0.000279831772011988,"control","active",1,"M",2022-04-25,5,2
"Test - A5",21,"R2",0.00541298836485489,"R2_11","c4",0.619,619,1574.1991513249,1.5741991513249e-09,0.16041397898339,0.000252523549576303,"control","active",3,"F",2022-04-25,5,2
"Test - B5",21,"R2",0.00441955705123983,"R2_33","c4",0.588,588,1354.89228842652,1.35489228842652e-09,0.152173407418553,0.000206178576214985,"heatstress","active",2,"M",2022-04-25,5,1
"Test - A6",21,"R2",0.0060777546191904,"R2_16","c4",0.603,603,1458.30891327041,1.45830891327041e-09,0.194427827543683,0.000283535833894754,"heatstress","active",4,"F",2022-04-25,5,1
"Test - B6",21,"R2",0.00535076775953764,"R2_34","c5",0.691,691,2170.69535599613,2.17069535599613e-09,0.114995809892087,0.000249620870491767,"control","active",6,"M",2022-04-25,5,3
"Test - A2",22,"R2",0.00445289689533023,"R2_5","c4",0.613,613,1530.05683887469,1.53005683887469e-09,0.135769651203762,0.000207735283335947,"control","active",6,NA,2022-04-26,6,2
"Test - B2",22,"R2",0.00919419853051465,"R2_25","c3",0.527,527,984.033707539181,9.84033707539181e-10,0.435884603882774,0.000428925142818014,"control","active",1,"F",2022-04-26,6,1
"Test - C2",22,"R2",0.00762375002827738,"R2_36","c3",0.529,529,994.978144290587,9.94978144290587e-10,0.357456117639693,0.00035566102459446,"control","active",6,"F",2022-04-26,6,1
"Test - A3",22,"R2",0.00224851048346042,"R2_16","c5",0.714,714,2388.48081458357,2.38848081458357e-09,0.0439178212634982,0.000104896873506176,"heatstress","active",4,"F",2022-04-26,6,2
"Test - B3",22,"R2",0.00312765457612993,"R2_27","c4",0.578,578,1288.70130105028,1.28870130105028e-09,0.113222865776553,0.000145910454434885,"control","active",3,NA,2022-04-26,6,2
"Test - A4",22,"R2",0.00686441447539265,"R2_20","c5",0.738,738,2630.55602239854,2.63055602239854e-09,0.121737273399683,0.000320236717691915,"heatstress","active",2,"F",2022-04-26,6,1
"Test - B4",22,"R2",0.00442659849181906,"R2_28","c4",0.607,607,1486.73633929982,1.48673633929982e-09,0.138900497831073,0.000206508417672292,"control","active",1,"F",2022-04-26,6,1
"Test - A5",22,"R2",0.00769904239992349,"R2_21","c5",0.751,751,2768.16258814797,2.76816258814797e-09,0.12975160653679,0.000359173542967239,"control","active",1,"F",2022-04-26,6,2
"Test - B5",22,"R2",0.00551210946741422,"R2_29","c4",0.62,620,1581.63662137855,1.58163662137855e-09,0.162584353720583,0.000257149367907637,"control","active",1,"F",2022-04-26,6,2
"Test - A6",22,"R2",0.00849788234456364,"R2_24","c5",0.715,715,2398.26197046896,2.39826197046896e-09,0.165303374874811,0.000396440797552433,"heatstress","active",2,"F",2022-04-26,6,2
"Test - B6",22,"R2",0.00357152267380266,"R2_33","c5",0.687,687,2134.2075453938,2.1342075453938e-09,0.0780700374842711,0.000166617663068108,"heatstress","active",2,"M",2022-04-26,6,2
"Test - A2",23,"R2",0.00665539688515916,"R2_3","c4",0.62,620,1581.63662137855,1.58163662137855e-09,0.196308601963819,0.000310488873957602,"heatstress","active",5,"F",2022-04-27,7,1
"Test - B2",23,"R2",0.0103497838500443,"R2_28","c5",0.737,737,2620.16139380513,2.62016139380513e-09,0.184278776323357,0.00048284013542011,"control","active",1,"F",2022-04-27,7,2
"Test - C2",23,"R2",0.00701934510097277,"R2_40","c6",0.737,737,2620.16139380513,2.62016139380513e-09,0.124980032872191,0.000327467857128211,"heatstress","active",2,"M",2022-04-27,7,NA
"Test - A3",23,"R2",0.0083865165120202,"R2_11","c5",0.757,757,2833.23727527471,2.83323727527471e-09,0.138092706864541,0.0003912494045322,"control","active",3,"F",2022-04-27,7,2
"Test - B3",23,"R2",0.010658481578817,"R2_30","c6",0.793,793,3244.89528031393,3.24489528031393e-09,0.153238092183296,0.000497241562089889,"control","active",1,"M",2022-04-27,7,NA
"Test - A4",23,"R2",0.00887336664026582,"R2_12","c6",0.865,865,4182.25021908178,4.18225021908178e-09,0.098980694605761,0.000413962031699811,"control","backup",3,"F",2022-04-27,7,NA
"Test - B4",23,"R2",0.000571968363277631,"R2_35","c2",0.415,415,489.805233496675,4.89805233496675e-10,0.0544779390870146,2.66835796749328e-05,"heatstress","active",2,"F",2022-04-27,7,1
"Test - A5",23,"R2",0.00695654079022953,"R2_20","c6",0.877,877,4353.93349875839,4.35393349875839e-09,0.0745390112786092,0.000324537898170266,"heatstress","active",2,"F",2022-04-27,7,NA
"Test - B5",23,"R2",0.00830258961720903,"R2_36","c4",0.626,626,1626.74706468065,1.62674706468065e-09,0.238103414520272,0.000387334030661292,"control","active",6,"F",2022-04-27,7,3
"Test - A6",23,"R2",0.0139359069323965,"R2_25","c4",0.628,628,1641.96969951563,1.64196969951563e-09,0.395951672740452,0.000650140649112353,"control","active",1,"F",2022-04-27,7,2
"Test - B6",23,"R2",0.0172892409658474,"R2_39","c6",0.9,900,4695.81637943842,4.69581637943842e-09,0.171765882117917,0.000806581042678003,"control","backup",6,"F",2022-04-27,7,NA
"Test - A2",24,"R2",0.00851890457203005,"R2_1","c6",0.762,762,2888.22814063956,2.88822814063956e-09,0.137601557996464,0.000397424692001232,"heatstress","backup",4,"M",2022-04-28,8,NA
"Test - B2",24,"R2",0.00682766748011343,"R2_22","c6",0.759,759,2855.15022908221,2.85515022908221e-09,0.111561537419766,0.00031852494912081,"control","backup",3,"M",2022-04-28,8,NA
"Test - C2",24,"R2",0.0107457538072579,"R2_34","c6",0.77,770,2977.66541210347,2.97766541210347e-09,0.168357350721846,0.000501311860117815,"control","active",6,"M",2022-04-28,8,NA
"Test - A3",24,"R2",0.00873482057864546,"R2_3","c5",0.753,753,2789.7437243637,2.7897437243637e-09,0.14606991357016,0.000407497624700703,"heatstress","active",5,"F",2022-04-28,8,2
"Test - B3",24,"R2",0.019775577386126,"R2_24","c6",0.908,908,4818.74180118406,4.81874180118406e-09,0.191454954223667,0.000922571990961366,"heatstress","active",2,"F",2022-04-28,8,NA
"Test - C3",24,"R2",0.00617963155349515,"R2_35","c3",0.499,499,839.028227355593,8.39028227355593e-10,0.343603123435728,0.000288292719570124,"heatstress","active",2,"F",2022-04-28,8,2
"Test - A4",24,"R2",0.00779237271092158,"R2_5","c5",0.749,749,2746.69151858857,2.74669151858857e-09,0.132352126436224,0.00036353046314954,"control","active",6,NA,2022-04-28,8,NA
"Test - B4",24,"R2",0.00547690506744555,"R2_27","c5",0.682,682,2089.16794083431,2.08916794083431e-09,0.122301829447928,0.000255509061187997,"control","active",3,NA,2022-04-28,8,NA
"Test - C4",24,"R2",0.00678761912031299,"R2_37","c6",0.771,771,2988.97142193399,2.98897142193399e-09,0.105941665136733,0.000316656609485794,"control","backup",1,"M",2022-04-28,8,NA
"Test - A5",24,"R2",0.0133677846994735,"R2_16","c6",0.838,838,3812.37412417853,3.81237412417853e-09,0.163581814808422,0.000623635077961792,"heatstress","active",4,"F",2022-04-28,8,NA
"Test - B5",24,"R2",0.00932091726248743,"R2_29","c5",0.794,794,3256.85816698984,3.25685816698984e-09,0.133515258235284,0.000434840259201341,"control","active",1,"F",2022-04-28,8,NA
"Test - A6",24,"R2",0.0115965194930324,"R2_21","c6",0.927,927,5119.12580275596,5.11912580275596e-09,0.105682469473634,0.000541001856381451,"control","active",1,"F",2022-04-28,8,NA
"Test - B6",24,"R2",0.0109867364668706,"R2_33","c6",0.786,786,3161.96321501703,3.16196321501703e-09,0.162099989684538,0.000512554204537149,"heatstress","active",2,"M",2022-04-28,8,NA
"Test - A2",25,"R2",0.0107376675400609,"R2_6","c6",0.849,849,3960.34877309112,3.96034877309112e-09,0.126487133819778,0.000500933165234971,"heatstress","backup",2,"F",2022-04-29,9,NA
"Test - B2",25,"R2",0.0079959910781336,"R2_28","c6",0.897,897,4650.25654285352,4.65025654285352e-09,0.0802167793061203,0.000373028602814923,"control","active",1,"F",2022-04-29,9,NA
"Test - A3",25,"R2",0.0110451369430389,"R2_11","c6",0.889,889,4530.18690974212,4.53018690974212e-09,0.113743036158864,0.000515277213481209,"control","active",3,"F",2022-04-29,9,NA
"Test - B3",25,"R2",0.00941182123220931,"R2_32","c6",0.769,769,2966.38755876342,2.96638755876342e-09,0.148018367939225,0.000439079845123384,"control","backup",6,"M",2022-04-29,9,NA
"Test - A4",25,"R2",0.0083433109560997,"R2_17","c6",0.753,753,2789.7437243637,2.7897437243637e-09,0.139522404929976,0.000389231753561532,"control","backup",1,"M",2022-04-29,9,NA
"Test - A5",25,"R2",-0.00204538016722629,"R2_25","c5",0.765,765,2921.55703738985,2.92155703738985e-09,-0.0326610019712999,-9.54209801574552e-05,"control","active",1,"F",2022-04-29,9,3
"Test - A2",26,"R2",0.0103531402355421,"R2_3","c6",0.892,892,4574.97108507581,4.57497108507581e-09,0.105572877919338,0.000482992863849211,"heatstress","active",5,"F",2022-04-30,10,NA
"Test - A3",26,"R2",0.00341122340837457,"R2_4","c6",0.866,866,4196.38400964405,4.19638400964404e-09,0.0379230760732932,0.000159139790030482,"control","backup",6,"F",2022-04-30,10,NA
"Test - A5",26,"R2",0.0133012810569971,"R2_35","c4",0.613,613,1530.05683887469,1.53005683887469e-09,0.405559448067504,0.000620529007085928,"heatstress","active",2,"F",2022-04-30,10,1
"Test - A6",26,"R2",0.00250149820814113,"R2_36","c6",0.925,925,5086.94261422021,5.08694261422021e-09,0.022940980472723,0.000116699451178688,"control","active",6,"F",2022-04-30,10,NA
"Test - A2",27,"R2",0.00881390992929164,"R2_13","c6",0.863,863,4154.07661659058,4.15407661659058e-09,0.0989832554322473,0.000411184026825111,"heatstress","backup",2,"F",2022-05-01,11,NA
"Test - A4",27,"R2",0.010071930498613,"R2_35","c5",0.764,764,2910.41946178297,2.91041946178297e-09,0.161445060370709,0.000469872845711637,"heatstress","active",2,"F",2022-05-01,11,2
"Test - A2",28,"R2",0.00920741170072541,"R2_25","c6",0.86,860,4112.05065941958,4.11205065941958e-09,0.104459198329133,0.00042954151537175,"control","active",1,"F",2022-05-02,12,NA
"Test - A2",29,"R2",0.0130313092731304,"R2_35","c6",0.873,873,4296.20078777612,4.29620078777612e-09,0.141504486198834,0.000607931685081287,"heatstress","active",2,"F",2022-05-03,13,NA
"Test - A3",29,"R2",0.0127782290728501,"R2_38","c6",0.867,867,4210.54917085621,4.21054917085621e-09,0.141578938903549,0.000596125083811042,"control","backup",3,"F",2022-05-03,13,NA
"Test - A2",30,"R3",0.00566754052221954,"R3_4","c2",0.411,411,476.147050756491,4.76147050756491e-10,0.555287416508926,0.000264398465692916,"heatstress","active",5,"F",2022-05-10,3,1
"Test - B2",30,"R3",0.00426845670920449,"R3_17","c2",0.426,426,528.68745844323,5.2868745844323e-10,0.376648437066079,0.000199129304919081,"control","active",6,NA,2022-05-10,3,NA
"Test - A3",30,"R3",0.00541551577393496,"R3_5","c3",0.507,507,878.913671632845,8.78913671632845e-10,0.287447080322454,0.000252641168766349,"heatstress","active",3,"F",2022-05-10,3,2
"Test - B3",30,"R3",0.00526519276430228,"R3_18","c3",0.516,516,925.252159807963,9.25252159807963e-10,0.265471843025179,0.000245628396127247,"control","active",1,"F",2022-05-10,3,3
"Test - A4",30,"R3",0.00415870180197097,"R3_7","c2",0.413,413,482.944394516361,4.82944394516361e-10,0.401721381547356,0.000194009089375664,"heatstress","active",2,"F",2022-05-10,3,1
"Test - B4",30,"R3",0.0056244065788213,"R3_23","c3",0.51,510,894.186055642547,8.94186055642547e-10,0.293435808993845,0.000262386208628486,"control","active",4,"F",2022-05-10,3,1
"Test - A5",30,"R3",0.00147660019404327,"R3_10","c2",0.395,395,424.020152619442,4.24020152619442e-10,0.162457856879271,6.8885405268176e-05,"heatstress","active",3,"F",2022-05-10,3,4
"Test - A6",30,"R3",0.00439622185192539,"R3_15","c3",0.507,507,878.913671632845,8.78913671632845e-10,0.23334455821694,0.000205089722417995,"control","active",1,"F",2022-05-10,3,3
"Test - B6",30,"R3",0.00498645321190424,"R3_32","c3",0.512,512,904.463956966628,9.04463956966628e-10,0.257196337676395,0.000232624817292118,"control","active",1,"F",2022-05-10,3,3
"Test - A2",31,"R3",-0.00783323872459704,"R3_1","c4",0.638,638,1719.4888367817,1.7194888367817e-09,-0.212523837116843,-0.000365432365472423,"heatstress","active",5,"M",2022-05-11,4,-4
"Test - B2",31,"R3",0.00207922005290888,"R3_29","c3",0.505,505,868.827988546031,8.68827988546031e-10,0.111643205909991,9.69987420256074e-05,"control","active",4,"F",2022-05-11,4,3
"Test - A3",31,"R3",0.00513858609866819,"R3_3","c3",0.516,516,925.252159807963,9.25252159807963e-10,0.259089120666415,0.000239722768479346,"heatstress","active",5,"F",2022-05-11,4,2
"Test - B3",31,"R3",0.00452586682436517,"R3_36","c3",0.49,490,795.601388641325,7.95601388641325e-10,0.265382257989297,0.000211138492977055,"control","active",4,"F",2022-05-11,4,2
"Test - A4",31,"R3",0.00538020746357241,"R3_4","c3",0.511,511,899.31535192698,8.9931535192698e-10,0.279095389558667,0.00025099476848215,"heatstress","active",5,"F",2022-05-11,4,2
"Test - A5",31,"R3",0.00533102181666296,"R3_7","c3",0.489,489,790.869536775842,7.90869536775842e-10,0.314464235285178,0.000248700184092558,"heatstress","active",2,"F",2022-05-11,4,2
"Test - A6",31,"R3",0.00749011286923206,"R3_23","c4",0.606,606,1479.59563476936,1.47959563476936e-09,0.236162516395988,0.000349425028355651,"control","active",4,"F",2022-05-11,4,3
"Test - A2",32,"R3",0.00611924573644397,"R3_5","c4",0.6,600,1437.22455958042,1.43722455958042e-09,0.198626793053782,0.000285471305167593,"heatstress","active",3,"F",2022-05-12,5,1
"Test - A2",33,"R3",0.0121646748904417,"R3_3","c4",0.602,602,1451.25835580443,1.45125835580443e-09,0.391039361462776,0.000567499140771282,"heatstress","active",5,"F",2022-05-13,6,1
"Test - B2",33,"R3",0.0127955932337839,"R3_18","c5",0.743,743,2682.93601256593,2.68293601256593e-09,0.222492211277869,0.000596932366152824,"control","active",1,"F",2022-05-13,6,3
"Test - A3",33,"R3",0.0141099500843664,"R3_4","c4",0.62,620,1581.63662137855,1.58163662137855e-09,0.41618216681847,0.000658248956204768,"heatstress","active",5,"F",2022-05-13,6,1
"Test - B3",33,"R3",0.0103227687174436,"R3_28","c5",0.69,690,2161.53525697431,2.16153525697431e-09,0.222791478211036,0.000481571635106578,"control","active",6,"M",2022-05-13,6,2
"Test - A4",33,"R3",0.016313339672733,"R3_5","c5",0.726,726,2507.59797948357,2.50759797948357e-09,0.303493692485745,0.000761040170063262,"heatstress","active",3,"F",2022-05-13,6,2
"Test - B4",33,"R3",0.00840782146394817,"R3_32","c5",0.74,740,2651.42654777401,2.65142654777401e-09,0.147934198271046,0.000392236660619517,"control","active",1,"F",2022-05-13,6,2
"Test - A5",33,"R3",0.00615142545813379,"R3_7","c4",0.602,602,1451.25835580443,1.45125835580443e-09,0.197740548341704,0.000286972623062248,"heatstress","active",2,"F",2022-05-13,6,1
"Test - B5",33,"R3",0.0242951746475985,"R3_36","c4",0.583,583,1321.5243164225,1.3215243164225e-09,0.857648966099381,0.00113340396365495,"control","active",4,"F",2022-05-13,6,1
"Test - A6",33,"R3",0.00200730716170388,"R3_15","c5",0.699,699,2244.89654717207,2.24489654717207e-09,0.0417140352541784,9.3643693710719e-05,"control","active",1,"F",2022-05-13,6,2
"Test - B2",34,"R3",0.00685386888996152,"R3_23","c6",0.847,847,3933.16836080572,3.93316836080572e-09,0.0812945484015323,0.000319745145678896,"control","active",4,"F",2022-05-14,7,-7
"Test - A3",34,"R3",0.00966453712457769,"R3_3","c5",0.74,740,2651.42654777401,2.65142654777401e-09,0.170047254991651,0.000450867806260961,"heatstress","active",5,"F",2022-05-14,7,2
"Test - B3",34,"R3",0.00782818982798879,"R3_29","c5",0.726,726,2507.59797948357,2.50759797948357e-09,0.145636959881883,0.00036519894633794,"control","active",4,"F",2022-05-14,7,-7
"Test - A4",34,"R3",0.00791233896362212,"R3_4","c5",0.729,729,2537.975126567,2.537975126567e-09,0.145440610891397,0.000369124652835075,"heatstress","active",5,"F",2022-05-14,7,3
"Test - B4",34,"R3",0.00968625139683675,"R3_30","c6",0.885,885,4470.92442975426,4.47092442975426e-09,0.101071002807788,0.000451880815593099,"heatstress","backup",3,"F",2022-05-14,7,NA
"Test - A5",34,"R3",0.00701498937994775,"R3_7","c5",0.724,724,2487.47996846096,2.48747996846096e-09,0.131563552908602,0.0003272617024397,"heatstress","active",2,"F",2022-05-14,7,2
"Test - B5",34,"R3",0.0102185064699285,"R3_36","c5",0.713,713,2378.72592563372,2.37872592563372e-09,0.200406214976085,0.000476711459221739,"control","active",4,"F",2022-05-14,7,4
"Test - A6",34,"R3",0.00879815317846646,"R3_10","c4",0.574,574,1262.83236714476,1.26283236714476e-09,0.325022915538204,0.0004104494578054,"heatstress","active",3,"F",2022-05-14,7,2
"Test - B6",34,"R3",0.0103274023575781,"R3_38","c6",0.863,863,4154.07661659058,4.15407661659058e-09,0.115980442847042,0.000481791645612718,"heatstress","backup",3,"F",2022-05-14,7,NA
"Test - A2",35,"R3",0.0110717454779131,"R3_5","c6",0.845,845,3906.11089604032,3.90611089604032e-09,0.13223381495026,0.000516519945402192,"heatstress","active",3,"F",2022-05-15,8,-8
"Test - B2",35,"R3",0.00855688220400792,"R3_28","c6",0.771,771,2988.97142193399,2.98897142193399e-09,0.133556427534114,0.000399196345115065,"control","active",6,"M",2022-05-15,8,NA
"Test - A3",35,"R3",0.00691158935044384,"R3_8","c6",0.764,764,2910.41946178297,2.91041946178297e-09,0.110788158567047,0.00032244001282863,"heatstress","backup",2,"M",2022-05-15,8,NA
"Test - B3",35,"R3",0.00615341170619888,"R3_32","c6",0.815,815,3514.82086882017,3.51482086882017e-09,0.0816739914036633,0.000287069449425435,"control","active",1,"F",2022-05-15,8,-8
"Test - A4",35,"R3",0.0102953772356951,"R3_14","c6",0.839,839,3825.67351547957,3.82567351547957e-09,0.125546717680101,0.000480300752784152,"control","backup",1,"F",2022-05-15,8,NA
"Test - B4",35,"R3",0.00191465380522439,"R3_35","c6",0.813,813,3489.6942022776,3.4896942022776e-09,0.0255961054242254,8.93225806998056e-05,"control","backup",1,"F",2022-05-15,8,NA
"Test - A5",35,"R3",0.00519393443103362,"R3_15","c6",0.837,837,3799.10516915619,3.79910516915619e-09,0.0637802400661073,0.000242307839725171,"control","active",1,"F",2022-05-15,8,-8
"Test - A6",35,"R3",0.00674558431620667,"R3_20","c6",0.792,792,3232.96132296879,3.23296132296879e-09,0.097339714710086,0.000314695532846524,"control","backup",4,"F",2022-05-15,8,NA
"Test - A2",36,"R3",0.0126614601453682,"R3_3","c6",0.857,857,4070.30523793256,4.07030523793256e-09,0.145120979809217,0.000590686684251363,"heatstress","active",5,"F",2022-05-16,9,0
"Test - B2",36,"R3",0.0102600755261309,"R3_22","c6",0.822,822,3603.70046667215,3.60370046667215e-09,0.132823604016601,0.000478656483779702,"heatstress","backup",3,"F",2022-05-16,9,NA
"Test - A3",36,"R3",0.0131409032248122,"R3_7","c6",0.83,830,3707.07189244596,3.70707189244596e-09,0.165374139305533,0.000613053823556983,"heatstress","active",2,"F",2022-05-16,9,NA
"Test - A4",36,"R3",0.00244946754208059,"R3_10","c5",0.696,696,2216.87884185354,2.21687884185354e-09,0.051546967273781,0.000114273381110962,"heatstress","active",3,"F",2022-05-16,9,2
"Test - A5",36,"R3",0.0122330726115508,"R3_12","c6",0.797,797,3292.92073859235,3.29292073859235e-09,0.173311613210541,0.000570701405379888,"heatstress","backup",5,"F",2022-05-16,9,NA
"Test - A6",36,"R3",0.00839630607058292,"R3_18","c6",0.867,867,4210.54917085621,4.21054917085621e-09,0.0930299754970141,0.000391707286193726,"control","active",1,"F",2022-05-16,9,-9
"Test - A2",37,"R3",0.00899467892826963,"R3_4","c6",0.847,847,3933.16836080572,3.93316836080572e-09,0.106688364382477,0.000419623299255273,"heatstress","active",5,"F",2022-05-17,10,NA
"Test - A3",37,"R3",0.0095138667589998,"R3_34","c6",0.814,814,3502.24271884806,3.50224271884806e-09,0.126731551687997,0.000443844654147603,"heatstress","backup",5,"F",2022-05-17,10,NA
"Test - A2",38,"R3",0.0171455901452047,"R3_10","c6",0.83,830,3707.07189244596,3.70707189244596e-09,0.215770613992386,0.00079987717834698,"heatstress","active",3,"F",2022-05-18,11,NA
"Test - A3",38,"R3",0.00822226261166049,"R3_31","c6",0.807,807,3415.02352839758,3.41502352839758e-09,0.112322952678391,0.000383585526175794,"heatstress","backup",3,"F",2022-05-18,11,NA
"Test - A4",38,"R3",0.00978306490108511,"R3_36","c6",0.776,776,3045.92499571354,3.04592499571354e-09,0.149839597490846,0.000456400175345022,"control","active",4,"F",2022-05-18,11,-11
"Test - A2",39,"R3",0.0203428411023008,"R3_3","c6",0.859,859,4098.10439275383,4.09810439275383e-09,0.231579967111147,0.000949038880491977,"heatstress","active",5,"F",2022-05-16,9,-7
"Test - A2",40,"R3",0.00972206728090403,"R3_40","c5",0.617,617,1559.39327788122,1.55939327788122e-09,0.290851924692352,0.000453552536224069,"control","backup",4,NA,2022-05-20,13,NA
"Test - A2",41,"R3",0.00426108523763765,"R3_1","c1",0.321,321,231.37566150207,2.3137566150207e-10,0.859159638154682,0.000198788629613919,"heatstress","active",5,"M",2022-05-07,0,1
"Test - B2",41,"R3",0.00435504804154476,"R3_29","c1",0.327,327,244.231916021173,2.44231916021173e-10,0.83188223824632,0.00020317219295088,"control","active",4,"F",2022-05-07,0,2
"Test - A3",41,"R3",0.00507168281937016,"R3_5","c1",0.312,312,212.938599470808,2.12938599470808e-10,1.1111405828126,0.000236604719519292,"heatstress","active",3,"F",2022-05-07,0,2
"Test - B3",41,"R3",0.00384425769747637,"R3_32","c1",0.325,325,239.895660946637,2.39895660946637e-10,0.747586444205568,0.000179342744147441,"control","active",1,"F",2022-05-07,0,2
"Test - A4",41,"R3",0.00479230351374189,"R3_15","c1",0.323,323,235.610338917162,2.35610338917162e-10,0.948901842069683,0.000223571084609158,"control","active",1,"F",2022-05-07,0,2
"Test - B4",41,"R3",0.0040378578847248,"R3_33","c1",0.311,311,210.951838510468,2.10951838510468e-10,0.892974449864693,0.00018837460194183,"heatstress","active",2,NA,2022-05-07,0,NA
"Test - A5",41,"R3",0.00447556617444365,"R3_18","c1",0.318,318,225.117972737354,2.25117972737354e-10,0.927489777716939,0.000208794618494257,"control","active",1,"F",2022-05-07,0,2
"Test - B5",41,"R3",0.00350575927975852,"R3_36","c1",0.321,321,231.37566150207,2.3137566150207e-10,0.706863793206965,0.000163551077745124,"control","active",4,"F",2022-05-07,0,2
"Test - A6",41,"R3",0.00540177400729352,"R3_23","c1",0.327,327,244.231916021173,2.44231916021173e-10,1.0318232563272,0.000252004170887999,"control","active",4,"F",2022-05-07,0,2
"Test - A2",42,"R3",0.00723516412421487,"R3_1","c2",0.406,406,459.429625886132,4.59429625886132e-10,0.734677970605787,0.000337532825182199,"heatstress","active",5,"M",2022-05-08,1,1
"Test - A2",43,"R3",0.00791922959245466,"R3_1","c3",0.49,490,795.601388641325,7.95601388641325e-10,0.464358894600144,0.000369444581371825,"heatstress","active",5,"M",2022-05-09,2,NA
"Test - B2",43,"R3",0.00360834446158044,"R3_18","c2",0.41,410,472.772101170002,4.72772101170002e-10,0.356059449730298,0.000168334974190428,"control","active",1,"F",2022-05-09,2,NA
"Test - A3",43,"R3",0.00664663959999274,"R3_2","c1",0.328,328,246.419233546082,2.46419233546082e-10,1.25832810086723,0.0003100762461652,"heatstress","active",5,NA,2022-05-09,2,NA
"Test - B3",43,"R3",0.00408451521402686,"R3_23","c2",0.426,426,528.68745844323,5.2868745844323e-10,0.360419165633487,0.000190549092652998,"control","active",4,"F",2022-05-09,2,NA
"Test - A4",43,"R3",0.0062853318429082,"R3_3","c1",0.33,330,250.832428685442,2.50832428685442e-10,1.1689902680439,0.000293220668043097,"heatstress","active",5,"F",2022-05-09,2,NA
"Test - B4",43,"R3",0.00679417368731637,"R3_29","c2",0.373,373,358.684630456016,3.58684630456016e-10,0.883670271006905,0.000316958944601079,"control","active",4,"F",2022-05-09,2,NA
"Test - A5",43,"R3",0.00795990612143459,"R3_5","c2",0.411,411,476.147050756491,4.76147050756491e-10,0.77988975290583,0.000371342205761319,"heatstress","active",3,"F",2022-05-09,2,NA
"Test - B5",43,"R3",0.00345008201171758,"R3_32","c2",0.414,414,486.366859424547,4.86366859424547e-10,0.330926701852584,0.000160951780679765,"control","active",1,"F",2022-05-09,2,NA
"Test - A6",43,"R3",0.00711916317427831,"R3_15","c2",0.424,424,521.472343080244,5.21472343080244e-10,0.636889419750116,0.00033212021800011,"control","active",1,"F",2022-05-09,2,NA
"Test - B6",43,"R3",0.00771927901584371,"R3_36","c2",0.418,418,500.216164165539,5.00216164165539e-10,0.719921899039626,0.000360116570836372,"control","active",4,"F",2022-05-09,2,NA
